"Місцевий час в Києві / Жулянах (аеропорт)";"N";"Cl";"Nh";"H";"Cm";"Ch";"RRR"
"07.08.2014 12:00";"хмар немає";"";"";"";"";"";""
"07.08.2014 09:00";"хмар немає";"";"";"";"";"";""
"07.08.2014 06:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"07.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"07.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"06.08.2014 21:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"Сліди опадів"
"06.08.2014 18:00";"20–30%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"06.08.2014 15:00";"60%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"60%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"Сліди опадів"
"06.08.2014 12:00";"50%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"06.08.2014 09:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"06.08.2014 06:00";"хмар немає";"";"";"";"";"";""
"06.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"06.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"05.08.2014 21:00";"хмар немає";"";"";"";"";"";""
"05.08.2014 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"05.08.2014 15:00";"50%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"05.08.2014 12:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"05.08.2014 09:00";"хмар немає";"";"";"";"";"";""
"05.08.2014 06:00";"хмар немає";"";"";"";"";"";""
"05.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"05.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"04.08.2014 21:00";"хмар немає";"";"";"";"";"";""
"04.08.2014 18:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"04.08.2014 15:00";"50%.";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"04.08.2014 12:00";"хмар немає";"";"";"";"";"";""
"04.08.2014 09:00";"хмар немає";"";"";"";"";"";""
"04.08.2014 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"04.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"04.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"03.08.2014 21:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"03.08.2014 18:00";"10%  або менше, але не 0";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"03.08.2014 15:00";"20–30%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"03.08.2014 12:00";"хмар немає";"";"";"";"";"";""
"03.08.2014 09:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2014 06:00";"20–30%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2014 03:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"03.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"02.08.2014 21:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2014 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"02.08.2014 15:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"02.08.2014 12:00";"хмар немає";"";"";"";"";"";""
"02.08.2014 09:00";"хмар немає";"";"";"";"";"";""
"02.08.2014 06:00";"хмар немає";"";"";"";"";"";""
"02.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"02.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"01.08.2014 21:00";"хмар немає";"";"";"";"";"";"Сліди опадів"
"01.08.2014 18:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2014 15:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"01.08.2014 12:00";"хмар немає";"";"";"";"";"";""
"01.08.2014 09:00";"хмар немає";"";"";"";"";"";""
"01.08.2014 06:00";"хмар немає";"";"";"";"";"";""
"01.08.2014 03:00";"хмар немає";"";"";"";"";"";""
"01.08.2014 00:00";"хмар немає";"";"";"";"";"";""
"31.08.2013 21:00";"60%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"2"
"31.08.2013 18:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"300-600";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"31.08.2013 15:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"300-600";"";"";"0.8"
"31.08.2013 12:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";""
"31.08.2013 09:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";"1"
"31.08.2013 06:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";""
"31.08.2013 03:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"300-600";"";"";"1"
"31.08.2013 00:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"200-300";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"30.08.2013 21:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"300-600";"";"";"0.8"
"30.08.2013 18:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"300-600";"";"";""
"30.08.2013 15:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";"0.8"
"30.08.2013 12:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"200-300";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"30.08.2013 09:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"200-300";"Високо-шаруваті непрозорі або шарувато-дощові.";"";"8"
"30.08.2013 06:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"200-300";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"30.08.2013 03:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"300-600";"";"";"5"
"30.08.2013 00:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"29.08.2013 21:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";"15"
"29.08.2013 18:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"29.08.2013 15:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";"6"
"29.08.2013 12:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"29.08.2013 09:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";"9"
"29.08.2013 06:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";""
"29.08.2013 03:00";"100%.";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"100%.";"300-600";"Високо-шаруваті непрозорі або шарувато-дощові.";"";"0.6"
"29.08.2013 00:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"60%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"28.08.2013 21:00";"100%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"";""
"28.08.2013 18:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"300-600";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються; суцільна пелена, що піднімається над обрієм вище 45 °, не покриває всього неба.";""
"28.08.2013 15:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"60%.";"600-1000";"Високо-купчасті баштовидні або пластівчасті.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"28.08.2013 12:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"40%.";"600-1000";"Високо-шаруваті прозорі.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"28.08.2013 09:00";"60%.";"Шарувато-купчасті, що утворилися не з купчастих.";"60%.";"300-600";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"28.08.2013 06:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"28.08.2013 03:00";"хмар немає";"";"";"";"";"";""
"28.08.2013 00:00";"хмар немає";"";"";"";"";"";""
"27.08.2013 21:00";"20–30%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"Сліди опадів"
"27.08.2013 18:00";"70 – 80%.";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"50%.";"600-1000";"Клоччя (часто сочевицевидні) високо-купчастих прозорих, безперервно змінюючих; розташовані на одному або більше рівнях.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"27.08.2013 15:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"300-600";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"Сліди опадів"
"27.08.2013 12:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"300-600";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"27.08.2013 09:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";""
"27.08.2013 06:00";"100%.";"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.";"100%.";"200-300";"";"";""
"27.08.2013 03:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"300-600";"";"";""
"27.08.2013 00:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"1000-1500";"";"";""
"26.08.2013 21:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"1500-2000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"26.08.2013 18:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"1000-1500";"";"";""
"26.08.2013 15:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"1000-1500";"";"";""
"26.08.2013 12:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"600-1000";"";"";""
"26.08.2013 09:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"26.08.2013 06:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"70 – 80%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"26.08.2013 03:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"26.08.2013 00:00";"20–30%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"25.08.2013 21:00";"20–30%.";"Шарувато-купчасті, що утворилися не з купчастих.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"25.08.2013 18:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"600-1000";"";"";""
"25.08.2013 15:00";"100%.";"Шарувато-купчасті, що утворилися не з купчастих.";"100%.";"600-1000";"";"";""
"25.08.2013 12:00";"90  або більше, але не 100 %";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"90  або більше, але не 100 %";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"25.08.2013 09:00";"90  або більше, але не 100 %";"Шаруваті розірвані або купчасті розірвані хмари поганої погоди, або ті й інші разом (розірвано-дощові); зазвичай розташовані під шаруватими або шарувато-дощовими хмарами.";"70 – 80%.";"600-1000";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"25.08.2013 06:00";"90  або більше, але не 100 %";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"25.08.2013 03:00";"50%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"25.08.2013 00:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"24.08.2013 21:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.";""
"24.08.2013 18:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"24.08.2013 15:00";"90  або більше, але не 100 %";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"24.08.2013 12:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"24.08.2013 09:00";"70 – 80%.";"Шарувато-купчасті, що утворилися не з купчастих.";"50%.";"300-600";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"24.08.2013 06:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"24.08.2013 03:00";"хмар немає";"";"";"";"";"";""
"24.08.2013 00:00";"хмар немає";"";"";"";"";"";""
"23.08.2013 21:00";"10%  або менше, але не 0";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"23.08.2013 18:00";"50%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"40%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"23.08.2013 15:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"60%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"23.08.2013 12:00";"70 – 80%.";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"60%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";""
"23.08.2013 09:00";"90  або більше, але не 100 %";"Шарувато-купчасті, що утворилися не з купчастих.";"90  або більше, але не 100 %";"300-600";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"Сліди опадів"
"23.08.2013 06:00";"70 – 80%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"70 – 80%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";""
"23.08.2013 03:00";"хмар немає";"";"";"";"";"";""
"23.08.2013 00:00";"20–30%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"22.08.2013 21:00";"40%.";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
"22.08.2013 18:00";"60%.";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";""
