"Місцевий час в Києві / Жулянах (аеропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"RRR";"tR";"E";"Tg";"E'";"sss";"AD"
"09.08.2012 18:00";"23.8";"748.6";"763";"";"38";"Вітер, що дме з північного сходу";"3";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"60%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"09.08.2012 15:00";"25.2";"749.2";"763.6";"";"29";"Вітер, що дме з північного заходу";"4";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"09.08.2012 12:00";"23.8";"749.8";"764.3";"";"39";"Вітер, що дме з півночі-північного заходу";"4";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"09.08.2012 09:00";"20.7";"750";"764.6";"";"54";"Вітер, що дме з півночі-північного заходу";"2";"";"";"хмар немає";" ";"";"";"17.4";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"09.08.2012 06:00";"17.6";"749.7";"764.5";"";"63";"Вітер, що дме з північного заходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"09.08.2012 03:00";"19.9";"749.6";"764.2";"";"53";"Вітер, що дме з півночі";"3";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"09.08.2012 00:00";"21.7";"749";"763.6";"";"52";"Вітер, що дме з півночі-північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"08.08.2012 21:00";"24.3";"748.6";"763.1";"";"40";"Вітер, що дме з півночі";"2";"";"";"70 – 80%.";" ";"";"";"";"28.3";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"60%.";"600-1000";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"08.08.2012 18:00";"26.6";"747.9";"762.2";"";"37";"Вітер, що дме з півночі-північного сходу";"3";"";"";"50%.";" ";"";"";"";"";"Шарувато-купчасті, що утворилися з купчастих.";"20–30%.";"600-1000";"Високо-купчасті баштовидні або пластівчасті.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"08.08.2012 15:00";"26.1";"748.6";"763";"";"42";"Вітер, що дме з північного сходу";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті і шарувато-купчасті (але не шарувато-купчасті, що утворилися з купчастих), основи розташовані на різних рівнях.";"60%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.";"20";"";"";"";"";"";"";""
"08.08.2012 12:00";"25.2";"749.1";"763.5";"";"45";"Вітер, що дме з півночі";"3";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.";"10%  або менше, але не 0";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"08.08.2012 09:00";"21.5";"749.2";"763.8";"";"55";"Вітер, що дме з півночі-північного сходу";"3";"";"";"хмар немає";" ";"";"";"19.2";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"08.08.2012 06:00";"19.4";"749";"763.6";"";"70";"Вітер, що дме з півночі-північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"08.08.2012 03:00";"20.8";"748.5";"763.1";"";"57";"Вітер, що дме з півночі";"5";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"08.08.2012 00:00";"23.5";"748";"762.4";"";"49";"Вітер, що дме з півночі";"5";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"07.08.2012 21:00";"27.5";"746.2";"760.5";"";"48";"Вітер, що дме з півночі";"4";"";"";"100%.";" ";"";"";"";"37.6";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"100%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.";"";"20";"";"";"";"";"";"";""
"07.08.2012 18:00";"34.8";"743.8";"757.6";"";"30";"Вітер, що дме з північного заходу";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"70 – 80%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"07.08.2012 15:00";"36.6";"744.3";"758.1";"";"20";"Вітер, що дме з південного заходу";"4";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"07.08.2012 12:00";"33.6";"745.4";"759.4";"";"27";"Вітер, що дме з південного заходу";"4";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"07.08.2012 09:00";"27.5";"746.2";"760.4";"";"51";"Вітер, що дме з півдня";"3";"";"";"хмар немає";" ";"";"";"20.3";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"07.08.2012 06:00";"21.8";"746.5";"761";"";"64";"Вітер, що дме з південного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"07.08.2012 03:00";"22.5";"";"";"";"65";"Вітер, що дме з півдня-південного сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"07.08.2012 00:00";"24.9";"746.7";"761";"";"55";"Вітер, що дме з півдня";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2012 21:00";"27.8";"747";"761.2";"";"44";"Вітер, що дме з півдня";"2";"";"";"хмар немає";" ";"";"";"";"34.6";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2012 18:00";"33.7";"746.8";"760.7";"";"20";"Вітер, що дме зі сходу";"1";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2012 15:00";"33.5";"747.2";"761.2";"";"22";"Вітер, що дме з північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2012 12:00";"30.5";"748";"762.1";"";"36";"Вітер, що дме із заходу-північного заходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"06.08.2012 09:00";"26";"748.4";"762.7";"";"63";"Штиль, безвітря";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"06.08.2012 06:00";"20.8";"748.1";"762.7";"";"80";"Вітер, що дме з півночі-північного сходу";"1";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"06.08.2012 03:00";"22.8";"747.8";"762.3";"";"71";"Вітер, що дме з півночі-північного сходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"06.08.2012 00:00";"24.7";"747.8";"762.2";"";"61";"Вітер, що дме з півночі";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2012 21:00";"27";"747.2";"761.5";"";"54";"Вітер, що дме з півночі-північного сходу";"2";"";"";"10%  або менше, але не 0";" ";"";"";"";"31.2";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"05.08.2012 18:00";"29.8";"746.7";"760.8";"";"43";"Вітер, що дме з північного сходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"05.08.2012 15:00";"30.8";"746.9";"761";"";"41";"Вітер, що дме з північного сходу";"4";"";"";"20–30%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"05.08.2012 12:00";"28.2";"747.4";"761.6";"";"48";"Вітер, що дме з півночі-північного сходу";"2";"";"";"10%  або менше, але не 0";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"05.08.2012 09:00";"24.3";"747.2";"761.6";"";"59";"Вітер, що дме з півночі";"3";"";"";"хмар немає";" ";"";"";"20.4";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2012 06:00";"20.5";"746.4";"761";"";"74";"Вітер, що дме з північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2012 03:00";"22.6";"745.6";"760";"";"75";"Вітер, що дме з північного заходу";"2";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"05.08.2012 00:00";"23.5";"745.6";"760";"";"64";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2012 21:00";"25.4";"745.4";"759.8";"";"56";"Штиль, безвітря";"0";"";"";"20–30%.";"Стан неба в загальному не змінився. ";"Гроза (грози) з опадами або без них.";"Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.";"";"31.7";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"Сліди опадів";"12";"";"";"";"";""
"04.08.2012 18:00";"30.7";"744.9";"758.9";"";"35";"Вітер, що дме з півдня";"3";"";"";"70 – 80%.";"Стан неба в загальному не змінився. ";"Гроза (грози) з опадами або без них.";"Хмари покривали більше половини неба протягом всього відповідного періоду.";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"04.08.2012 15:00";"26.8";"745.5";"759.8";"";"52";"Вітер, що дме з південного заходу";"4";"";"";"70 – 80%.";"Гроза слабка або помірна без граду, але з дощем і / або снігом в термін спостереження. ";"Гроза (грози) з опадами або без них.";"Злива (зливи).";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"50%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"Сліди опадів";"6";"";"";"";"";""
"04.08.2012 12:00";"29.5";"746.2";"760.3";"";"39";"Вітер, що дме з півдня";"2";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"04.08.2012 09:00";"25.6";"746.3";"760.6";"";"52";"Вітер, що дме із заходу";"2";"";"";"40%.";" ";"";"";"20.3";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"04.08.2012 06:00";"20.5";"746";"760.5";"";"70";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2012 03:00";"21.1";"746.3";"760.9";"";"68";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"04.08.2012 00:00";"23.1";"746.5";"760.9";"";"59";"Штиль, безвітря";"0";"";"";"хмар немає";" ";"";"";"";"";"";"";"";"";"";"20";"";"";"";"";"";"";""
"03.08.2012 21:00";"25.5";"746.5";"760.8";"";"45";"Вітер, що дме зі сходу";"1";"";"";"20–30%.";" ";"";"";"";"32.3";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2012 18:00";"30.7";"746.2";"760.4";"";"33";"Вітер, що дме зі сходу";"2";"";"";"50%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"03.08.2012 15:00";"31.4";"747.3";"761.4";"";"30";"Вітер, що дме зі сходу-південного сходу";"2";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"10%  або менше, але не 0";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2012 12:00";"30.3";"748.1";"762.2";"";"36";"Вітер, що дме зі сходу-північного сходу";"3";"";"";"60%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"20–30%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2012 09:00";"26.7";"748.3";"762.6";"";"46";"Вітер, що дме з південного сходу";"2";"";"";"70 – 80%.";" ";"";"";"20.6";"";"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.";"20–30%.";"600-1000";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2012 06:00";"21.1";"748.4";"763";"";"66";"Штиль, безвітря";"0";"";"";"90  або більше, але не 100 %";" ";"";"";"";"";"Шарувато-купчасті, що утворилися не з купчастих.";"50%.";"1000-1500";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"03.08.2012 03:00";"21.6";"748.2";"762.8";"";"61";"Вітер, що дме з північного заходу";"1";"";"";"50%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"50%.";"2500 або більше, або хмар немає.";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.";"20";"";"";"";"";"";"";""
"03.08.2012 00:00";"23.7";"748.6";"763.1";"";"54";"Вітер, що дме з північного сходу";"1";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"10%  або менше, але не 0";"2500 або більше, або хмар немає.";"Високо-купчасті баштовидні або пластівчасті.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"02.08.2012 21:00";"24.8";"748.6";"763";"";"53";"Вітер, що дме з півночі-північного заходу";"1";"";"";"70 – 80%.";" ";"";"";"";"32.7";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"40%.";"600-1000";"Високо-купчасті прозорі, розташовані на одному рівні.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"02.08.2012 18:00";"30.7";"748";"762.2";"";"31";"Вітер, що дме з північного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.";"50%.";"600-1000";"Високо-купчасті прозорі або щільні у двох або більше шарах чи високо-купчасті щільні в одному шарі, що не поширюються по небу, або високо-купчасті з високо-шаруватими або шарувато-дощовими.";"Перисті щільні, що утворилися від купчасто-дощових.";"20";"";"";"";"";"";"";""
"02.08.2012 15:00";"31.1";"748.4";"762.4";"";"30";"Вітер, що дме з північного сходу";"4";"";"";"60%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"50%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"02.08.2012 12:00";"30.1";"749";"763.2";"";"39";"Вітер, що дме з північного сходу";"3";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"02.08.2012 09:00";"24.8";"749.2";"763.6";"";"62";"Вітер, що дме з півночі-північного сходу";"3";"";"";"20–30%.";" ";"";"";"21.1";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"02.08.2012 06:00";"21.2";"749";"763.5";"";"84";"Вітер, що дме з півночі-північного сходу";"3";"";"";"40%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"02.08.2012 03:00";"22.4";"748.7";"763.2";"";"79";"Вітер, що дме з півночі-північного заходу";"3";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.";"20";"";"";"";"";"";"";""
"02.08.2012 00:00";"24.2";"748.6";"763";"";"73";"Вітер, що дме з півночі";"3";"";"";"20–30%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"01.08.2012 21:00";"25.8";"747.9";"762.2";"";"67";"Вітер, що дме з півночі-північного сходу";"3";"";"";"40%.";" ";"";"";"";"31.3";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"01.08.2012 18:00";"29.9";"747.1";"761.2";"";"37";"Вітер, що дме з півночі-північного сходу";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"01.08.2012 15:00";"29.9";"747.4";"761.5";"";"41";"Вітер, що дме з північного сходу";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"600-1000";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"01.08.2012 12:00";"30";"747.5";"761.6";"";"40";"Вітер, що дме зі сходу";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.";"20–30%.";"1000-1500";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті (часто у вигляді смуг) і перисто-шаруваті, що поширюються по небу і в цілому зазвичай ущільнюються, але суцільна пелена піднімається над обрієм менш ніж на 45 °.";"20";"";"";"";"";"";"";""
"01.08.2012 09:00";"25.9";"747.2";"761.6";"";"47";"Вітер, що дме з північного сходу";"2";"";"";"70 – 80%.";" ";"";"";"20.1";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
"01.08.2012 06:00";"20.5";"746.9";"761.5";"";"81";"Вітер, що дме з півночі";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.";"хмар немає";"2500 або більше, або хмар немає.";"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.";"Перисті волокнисті, іноді кігтевидні, не поширюються по небу.";"20";"";"";"";"";"";"";""
